School Name,City,Zip Code,Student Enrollments,Full Time Teachers,English Score,Math Score,National Rank,Arizona Rank,Student Teache Ratio,AP Classes,Offers Sports,Graduation Rate,Mental Health Services,White ,Hispanic,Black,Asian,American Indian,Free Lunch Eligible,Reduced Price Eligible ,Free lunch Not Eligible
Boulder Creek High School,Anthem,85086,"2,576",103,48%,45%,565,23,25,17%,Yes,94%,Yes,2103,280,57,43,4,255,78,2243
Great Hearts Academies,Anthem,85086,769,1,70%,71%,7645,152,1,10%,Yes,100%,Yes,614,65,51,9,3,25,,
West-Mec - Boulder Creek High School,Anthem,85086,4,1,9%,8%,25615,591,1,15%,No,24%,No,1,3,0,0,0,40,,
Agua Fria High School,Avondale,85323,1736,96.1,37%,24%,2423,86,18.1,13%,No,94%,No,2,1121,341,29,13,356,73,1307
Estrella High School,Avondale,85323,258,1,15%,15%,15742,273,1,20%,No,22%,No,28,188,34,4,1,157,12,157
La Joya Community High School,Avondale,85323,2226,80.98,20%,13%,1042,37,27.5,74%,Yes,92%,Yes,172,1651,286,33,33,1186,222,1186
West-Mec - Agua Fria High School,Avondale,85323,3,1,36%,49%,25708,602,,11%,No,10%,No,1,2,0,0,0,0,,
West-Mec - La Joya High School,Avondale,85323,5,1,20%,13%,25512,584,1,21%,No,92%,No,0,3,2,0,0,0,,
West-Mec - West View High School,Avondale,85323,10,1,32%,35%,25082,560,1,12%,No,40%,No,2,4,2,0,1,0,,
Westview High School,Avondale,85323,2423,96.04,23%,13%,755,31,25.2,72%,Yes,87%,No,490,1543,243,65,25,993,189,1241
Buckeye Union High School,Buckeye,85326,1402,57.17,22%,14%,3772,109,24.5,1%,Yes,93%,Yes,442,809,106,3,21,240,47,1115
E-Institute at Buckeye,Buckeye,85326,64,1,30%,30%,21990,455,1,20%,Yes,35%,No,17,44,1,1,0,30,3,31
Odyssey Institute for Advanced and International Studies,Buckeye,85326,"1,087",1,40%,25%,5422,128,1,4%,Yes,95%,Yes,650,288,73,33,12,0,,
Skyview High School,Buckeye,85326,137,1,15%,15%,19117,357,1,5%,No,42%,No,28,89,18,0,2,91,9,37
Verrado High School,Buckeye,85326,1905,84.44,34%,24%,1866,60,22.6,31%,Yes,96%,Yes,978,692,106,43,9,182,79,1644
West-Mec - Buckeye Union High School,Buckeye,85326,15,1,32%,47%,24657,538,1,6%,No,36%,No,7,6,2,0,0,0,,
West-Mec - Verrado High School,Buckeye,85326,1,1,34%,24%,25948,630,1,7%,No,29%,No,1,0,0,0,0,0,,
West-Mec - Youngker High School,Buckeye,85326,22,1,32%,57%,24174,514,1,8%,No,31%,No,9,9,4,0,0,0,,
Youngker High School,Buckeye,85326,1492,61,26%,21%,3378,106,24.5,10%,Yes,94%,Yes,480,806,154,16,8,270,82,1140
Arizona College Prep Erie Campus,Chandler,85224,94,31,83%,91%,9474,181,19.2,9%,Yes,79%,Yes,332,93,32,130,6,47,10,537
Az Compass Prep School,Chandler,85224,143,1,12%,5%,18895,352,1,4%,Yes,52%,Yes,24,42,15,3,58,15,125,3
Basha High School,Chandler,85224,2544,124.68,61%,61%,592,26,20.4,38%,Yes,94%,Yes,1758,401,166,150,35,276,66,2202
Basis Chandler,Chandler,85224,717,1,84%,88%,8119,162,1,76%,Yes,95%,No,159,25,8,509,1,0,,
Blueprint High School,Chandler,85224,45,1,32%,25%,22875,480,1,2%,No,25%,No,3,36,0,1,5,30,4,11
Bogle Junior High School,Chandler,85224,1194,55.25,52%,43%,,,21.6,3%,Yes,40%,No,633,315,74,123,24,305,39,850
Brightmont Academy - Chandler,Chandler,85224,21,0,89%,97%,6704,66,4,4%,No,81%,No,17,2,1,1,0,0,,
Chandler High School,Chandler,85224,3184,152.9,32%,25%,185,8,20.8,26%,Yes,90%,Yes,1088,1460,323,193,59,1371,157,1656
Chandler Online Academy,Chandler,85224,179,2,63%,48%,17850,329,89.5,3%,No,62%,No,139,27,4,7,0,10,3,166
Great Hearts Academies - Archway Chandler,Chandler,85224,519,1,79%,83%,1454,172,1,5%,Yes,95%,Yes,290,66,27,90,1,1,,
Great Hearts Academies - Chandler Prep,Chandler,85224,711,1,72%,66%,8171,163,1,2%,Yes,69%,No,450,88,26,109,1,2,,
Great Hearts Academies - Lincoln Prep,Chandler,85224,166,1,64%,56%,,,1,6%,Yes,70%,No,90,21,6,32,1,1,,
Hamilton High School,Chandler,85224,3840,191.53,49%,52%,64,1,20,35%,Yes,93%,Yes,1940,839,308,560,107,754,87,2999
Intelli-School,Chandler,85224,81,1,,,21252,431,1,3%,No,10%,No,16,53,4,1,3,47,12,22
Kaizen Education Foundation Dba El Dorado High School,Chandler,85224,139,1,22%,12%,19037,354,1,2%,No,57%,No,26,87,22,1,3,91,32,16
Santan Junior High School,Chandler,85249,1354,62.62,56%,46%,,,21.6,1%,Yes,46%,Yes,950,167,78,117,15,146,33,1175
Willis Junior High School,Chandler,85225,873,53.88,36%,28%,,,16.2,1%,Yes,26%,No,254,482,63,39,19,496,29,348
Dysart High School,El Mirage,85335,1557,65.5,32%,23%,3122,99,23.8,12%,Yes,94%,Yes,460,841,138,38,26,906,167,484
West-Mec - Dysart High School,El Mirage,85335,1,1,45%,55%,25948,630,1,2%,No,34%,No,1,0,0,0,0,2,,
Fountain Hills High School,Fountain Hills,85268,557,30.8,47%,27%,9922,185,18.1,19%,Yes,92%,Yes,447,31,3,19,43,61,16,480
